imdb_id,title,year,rating,rating_count,runtime,genres,cast,runtime_clean
tt1187043,3 Idiots,2009.0,8.4,474006.0,PT2H50M,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Jaaved Jaaferi, Parikshit Sahni, Olivier Lafont, Rahul Kumar, Amardeep Jha, Farida Dadi, Mukund Bhatt, Chaitali Bose, Ali Fazal, Arun Bali, Dushyant Wagh",2h 50m
tt0986264,Taare Zameen Par,2007.0,8.3,228470.0,PT2H42M,"Drama, Family","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda, Sachet Engineer, Girija Oak, Lalitha Lajmi, Ravi Khanvilkar, Pratima Kulkarni, Meghna Malik, Sonali Sachdev, Sanjay Dadhich, Rajgopal Iyer, Bugs Bhargava Krishna, Shankar Sachdev, M.K. Raina, Gurkirtan",2h 42m
tt2338151,PK,2014.0,8.1,219313.0,PT2H33M,"Comedy, Drama, Musical","Aamir Khan, Anushka Sharma, Sanjay Dutt, Saurabh Shukla, Sushant Singh Rajput, Boman Irani, Parikshit Sahni, Amardeep Jha, Plabita Borthakur, Maanvi Gagroo, Tia Sharma, Sanjiv Kishinchandani, Rajinder Sharma Nanu, Sachin Parikh, Ram Sethi, Shaji Chaudhary, Ignace De Groote, Donder In t' Hooi",2h 33m
tt5074352,Dangal,2016.0,8.3,237324.0,PT2H41M,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritvik Sahore, Girish Kulkarni, Ravi Aneja, Anurag Arora, Mahesh Balraj, Vivan Bhatena, Anmol Charan, Karamveer Choudhary, Ishika Gagneja, Badrul Islam, Jagbir",2h 41m
tt0405508,Rang De Basanti,2006.0,8.1,125920.0,PT2H47M,"Comedy, Crime, Drama","Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi, Kunal Kapoor, Atul Kulkarni, Alice Patten, Madhavan, Waheeda Rehman, Anupam Kher, Kirron Kher, Om Puri, Steven Mackintosh, Lekh Tandon, Cyrus Sahukar, K.K. Raina, Pravishi Das, Mukesh Chhabra",2h 47m
tt0169102,Lagaan: Once Upon a Time in India,2001.0,8.1,128223.0,PT3H44M,"Drama, Musical, Sport","Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Rajendra Gupta, Rajesh Vivek, Shri Vallabh Vyas, Javed Khan Amrohi, Raj Zutshi, Akhilendra Mishra, Dayashankar Pandey, Yashpal Sharma, Amin Hajee, Pradeep Singh Rawat, Aditya Lakhia",3h 44m
tt1188996,My Name Is Khan,2010.0,7.9,122196.0,PT2H45M,"Drama, Romance","Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane, Kenton Duty, Benny Nieves, Christopher B. Duncan, Jimmy Shergill, Sonya Jehan, Parvin Dabas, Arjun Mathur, Sugandha Garg, Zarina Wahab, S.M. Zaheer, Arif Zakaria, Vinay Pathak, Sumeet Raghavan, Tanay Chheda",2h 45m
tt0367110,"Swades: We, the People",2004.0,8.2,105049.0,PT3H9M,"Drama, Musical","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth, Lekh Tandon, Rajesh Vivek, Dayashankar Pandey, Bachan Pachehra, Rajesh Balwani, Vishnudutt Gaur, Rahul Vohra, Farrukh Jaffar, V.M. Badola, Bhim Vakani, Dilip Ambekar, Raja Awasthi, Peter Rawley, Mary Guyer",3h 9m
tt1954470,Gangs of Wasseypur,2012.0,8.2,112237.0,PT5H21M,"Action, Comedy, Crime","Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen, Piyush Mishra, Huma Qureshi, Jaideep Ahlawat, Vineet Kumar Singh, Pankaj Tripathi, Jameel Khan, Zeishan Quadri, Aditya Kumar, Satyakam Anand, Rajkummar Rao, Vipin Sharma, Anurita Jha, Faisal Malik",5h 21m
tt1954470,Gangs of Wasseypur,2012.0,8.2,112237.0,PT5H21M,"Action, Comedy, Crime","Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen, Piyush Mishra, Huma Qureshi, Jaideep Ahlawat, Vineet Kumar Singh, Pankaj Tripathi, Jameel Khan, Zeishan Quadri, Aditya Kumar, Satyakam Anand, Rajkummar Rao, Vipin Sharma, Anurita Jha, Faisal Malik",5h 21m
tt2082197,Barfi!,2012.0,8.1,92631.0,PT2H31M,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Amar Gupta, Saurabh Shukla, Roopa Ganguly, Ashish Vidyarthi, Bholaraj Sapkota, Jisshu Sengupta, Haradhan Bannerjee, Akash Khurana, Arun Bali, Uday Tikekar, Preiti Mamgain, Sumona Chakravarti, Sujata Sehgal, Kenneth Desai, Neeraj Khetrapal",2h 31m
tt0871510,Chak De! India,2025.0,8.1,91079.0,PT2H33M,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Chitrashi Rawat, Tanya Abrol, Arya Menon, Seema Azmi, Nisha Nair, Sandia Furtado, Masochon V. Zimik, Kimi Laldawla, Shubhi Mehta, Anaitha Nair, Kimberly Miranda, Nichola Sequeira, Raynia Mascerhanas, Javed Khan Amrohi",2h 33m
tt0374887,Munna Bhai M.B.B.S.,2003.0,8.2,96585.0,PT2H36M,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani, Sunil Dutt, Rohini Hattangadi, Kurush Deboo, Jimmy Shergill, Yatin Karyekar, Khurshed Lawyer, Bomie E. Dotiwala, Rohitash Gaud, Priya Bapat, Rita Puri, Surendra Rajan, Mumait Khan, Suresh Chatwal, Atul Srivastava",2h 36m
tt3863552,Bajrangi Bhaijaan,2015.0,8.1,109202.0,PT2H43M,"Action, Adventure, Comedy","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor, Sharat Saxena, Alka Badola Kaushal, Om Puri, Meher Vij, Rajesh Sharma, Mir Sarwar, Khushaal Pawaar, Krunal Pandit, Manoj Bakshi, Mursaleem Qureshi, Yudhvir Dahiya, Adnan Sami, Sunil Chitkara, Habib Azmi",2h 43m
tt0292490,Dil Chahta Hai,2001.0,8.0,79299.0,PT3H3M,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan, Suchitra Pillai, Anjula Bedi, Rakesh Pandey, Samantha Tremayne, Claire, Clarence, Asad Dadarkar, Bomi Doctor",3h 3m
tt1562872,Zindagi Na Milegi Dobara,2011.0,8.2,94248.0,PT2H35M,"Comedy, Drama, Musical","Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif, Kalki Koechlin, Ariadna Cabrol, Naseeruddin Shah, Deepti Naval, Supreet Bedi, Anisa Butt, Juan Jose Amador, Aashrita Kamath, Lolo Herrero, Barbara Holzer, Ravi Khemu, Pino Losada, Raaghav Chanana, Anuradha Chandan",2h 35m
tt0112870,Dilwale Dulhania Le Jayenge,2025.0,8.0,84095.0,PT3H1M,"Drama, Romance","Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher, Parmeet Sethi, Mandira Bedi, Satish Shah, Himani Shivpuri, Pooja Ruparel, Achala Sachdev, Damyanti Puri, Lalit Tiwari, Hemlata Deepak, Mohit Kumar, Mansoor Merchant, Govind Khatri, Rajesh Bhatija",3h 1m
tt0347304,Kal Ho Naa Ho,2003.0,7.9,80833.0,PT3H6M,"Comedy, Drama, Musical","Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Irani, Rani Mukerji, Athit Naik, Jhanak Shukla, Sonali Bendre, Satish Shah, Sulabha Arya, Rajpal Naurang Yadav, Ketki Dave, Kamini Khanna, Simone Singh",3h 6m
tt2574698,Gunday,2014.0,2.8,61137.0,PT2H32M,"Action, Drama, Musical","Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan, Karan Aanand, Victor Banerjee, Prasanjit Chatterjee, Diwakar Dhyani, Darshan Gurjar, Uttam Halder, Susanta Joddar, Jayesh Kardak, Elly Meyers, Ajay Pathania, Deepraj Rana, Saurabh Shukla, Gautam Siddhartha, Amritpal Singh",2h 32m
tt4223200,Galactic Film Festival Queen,2014.0,,,,Reality-TV,"Dawna Lee Heising, L.J. Rivera, Share Cherrie",
tt0118849,Bacheha-ye aseman,1999.0,8.2,88580.0,PT1H29M,"Drama, Family, Sport","Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi, Kamal Mirkarimi, Behzad Rafiei, Hossein Ahamdloo, Seyed Karym Alikhani, Kazem Asqarpoor, Ali Chaharian, Masume Dair, Reza Dehghan, Navid Feyzabadi, Mohammad Haj Hosseini, Siamak Haj-Amini, Soheil Haj-Amini, Seyed Ali Hosseini",1h 29m
tt2356180,Bhaag Milkha Bhaag,2013.0,8.2,77754.0,PT3H6M,"Biography, Drama, Sport","Farhan Akhtar, Kousi Orfahli, Deepak Singh Rawat, Japtej Singh, Divya Dutta, Pawan Malhotra, Yograj Singh, Art Malik, Sonam Kapoor, Saurabh Agnihotri, Siddharth Bhardwaj, Jass Bhatia, Rebecca Breeds, Divjot Singh Chandhok, Chinmay Chandraunshuh, Chandan Singh Gill, Dev Gill, Shveta Grover",3h 6m
tt1821480,Kahaani,2012.0,8.1,69372.0,PT2H2M,"Mystery, Thriller","Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui, Dhritiman Chatterjee, Saswata Chatterjee, Darshan Jariwala, Sk. Azad Ahmed, Masood Akhtar, Mohd. Faiz Alam, Roshni Ali, Anindya Pulak Banerjee, Kamalika Banerjee, Dibyendu Bardhan, Paresh Bhowmick, Pamela Singh Bhutoria, Colleen Blanche, Mita Chakraborty",2h 2m
tt8108198,Andhadhun,2018.0,8.2,113913.0,PT2H19M,"Crime, Mystery, Thriller","Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan, Manav Vij, Zakir Hussain, Ashwini Kalsekar, Chhaya Kadam, Pawan Singh, Kabir Sajid Shaikh, Gopal Singh, Mahesh Rale, Mohini Kewalramani, Rashmi Agdekar, Franco Vaz, Jaydutt Vyas, Abhishek Shukla, Pratik Nandkumar More",2h 19m
tt4387040,Airlift,2016.0,7.9,61231.0,PT2H10M,"Drama, History","Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi, Inaamulhaq, Lenaa, Nissar Khan, Ninad Kamat, Kaizaad Kotwal, Feryna Wazheir, Ajay Kumar, Purab Kohli, Gunjan Malhotra, Pooja Nair, Taranjit Kaur, Ajay Arya, Avtar Gill, Pawan Chopra",2h 10m
tt14691078,Harshal Kumar-Baby Beautiful-Best Romantic Hindi Songs 2018,2018.0,,,,"Short, Music","Babloo Kumar, Anushree Shrivastav",
tt2176013,Jab Tak Hai Jaan,2012.0,6.7,62220.0,PT2H56M,"Drama, Romance","Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher, Rishi Kapoor, Neetu Singh, Julia St John, Lucy Phelps, Sharib Hashmi, Sean Moon, Vic Waghorn, Andrew Bicknell, Susan Fordham, Varun Thakur, Manoj Bakshi, Sarika Thakur, Atul Sharma, Tina Tancak",2h 56m
tt0073707,Sholay,1975.0,8.1,62320.0,PT2H42M,"Action, Adventure, Comedy","Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, Hema Malini, Jaya Bachchan, A.K. Hangal, Satyendra Kapoor, Iftekhar, Leela Mishra, Mac Mohan, Sachin Pilgaonkar, Govardhan Asrani, Viju Khote, Major Anand, Bihari, Alankar Joshi, Keshto Mukherjee",2h 42m
tt1285241,Don 2,2011.0,7.1,61614.0,PT2H28M,"Action, Crime, Thriller","Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas, Boman Irani, Lara Dutta, Kunal Kapoor, Nawab Shah, Alyy Khan, Sahil Shroff, Leonard Benhaus, Hrithik Roshan, Andreas Adam, Marco Ammer, Günter Barton, Sasan Bhaktiari, Hans-Eckart Eckhardt, Hermann Eppert",2h 28m
tt3390572,Haider,2014.0,8.0,60349.0,PT2H40M,"Action, Crime, Drama","Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Narendra Jha, Kulbhushan Kharbanda, Lalit Parimoo, Ashish Vidyarthi, Aamir Bashir, Sumit Kaul, Rajat Bhagat, Ashwath Bhatt, Irrfan Khan, Anshuman Malhotra, Lankesh Bhardwaj, Sameer Bhat, Javaid Khan, Bhawani Muzamil",2h 40m
tt2377938,Special Chabbis,2013.0,8.0,61855.0,PT2H24M,"Crime, Drama, History","Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill, Kajal Aggarwal, Divya Dutta, Kishore Kadam, Rajesh Sharma, Deepraj Rana, Vipin Sharma, Sukhwinder Chahal, Abha Parmar, Mukesh S. Bhatt, Ujjwal Chopra, Tiku Talsania, Paritosh Sand, Aparna Ghoshal, Sumeet",2h 24m
tt0109117,Andaz Apna Apna,1994.0,8.0,57515.0,PT2H40M,"Action, Comedy, Romance","Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, Paresh Rawal, Shakti Kapoor, Shehzad Khan, Viju Khote, Deven Verma, Jagdeep, Mehmood, Tiku Talsania, Suresh Bhagwat, Harish Patel, Javed Khan Amrohi, Anand Mishra, Sanjay Batra, Govinda",2h 40m
tt2283748,OMG: Oh My God!,2017.0,8.1,70336.0,PT2H5M,"Comedy, Drama, Fantasy","Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar, Govind Namdeo, Om Puri, Lubna Salim, Nikhil Ratnaparkhi, Murli Sharma, Poonam Jhawer, Yusuf Hussain, Jaineeraj Rajpurohit, Nidhi Subbaiah, Apoorva Arora, Azaan Shah, Honey Chhaya, Krunal Pandit, Bhakti Ratnaparkhi",2h 5m
tt0420332,Veer-Zaara,2025.0,7.8,65932.0,PT3H12M,"Drama, Family, Musical","Shah Rukh Khan, Preity G Zinta, Rani Mukerji, Kirron Kher, Divya Dutta, Boman Irani, Anupam Kher, Amitabh Bachchan, Hema Malini, Manoj Bajpayee, Zohra Sehgal, S.M. Zaheer, Tom Alter, Akhilendra Mishra, Arun Bali, Rushad Rana, Balwant Bansal, Vicky Ahuja",3h 12m
tt2112124,Chennai Express,2013.0,6.2,71058.0,PT2H21M,"Action, Comedy, Romance","Deepika Padukone, Shah Rukh Khan, Nikitin Dheer, Sathyaraj, Mukesh Tiwari, Lekh Tandon, Kamini Kaushal, Puvisha Manoharan, Manu Malik, Rakesh Kukreti, Mohan V. Raman, Yogi Babu, Jasper, Besant Ravi, King Kong, Jimmy Moses, Delhi Ganesh, Rohit Mehta",2h 21m
tt24250998,Kuch Kuch Hota hai,2022.0,,,,"Short, Drama","Johan Karlberg, Rebecca Malla",
tt2350496,The Lunchbox,2013.0,7.8,66431.0,PT1H44M,"Drama, Romance","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey, Nakul Vaid, Bharti Achrekar, Yashvi Puneet Nagar, Denzil Smith, Shruti Bapna, Nasir Khan, Lokesh Raj, Sadashiv Kondaji Pokarkar, Aarti Rathod, Krishna Bai, Raj Rishi More, Santosh Kumar Chaurasiya, Avijit Khanwilkar, Aakash Sinha",1h 44m
tt1093370,Jab We Met,2007.0,7.9,64334.0,PT2H18M,"Comedy, Drama, Romance","Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa, Pawan Malhotra, Kamal Tiwari, Kiran Juneja, Divya Seth Shah, Saumya Tandon, Nihar Thakkar, Manushka Khisty, F.J. Jussawala, Vishal Om Prakash, Rohini Singh, Deepak Sharma, Sheikh Noor Islam, Basant Sinha, Sham Mashalkar",2h 18m
tt6452574,Sanju,2018.0,7.6,66629.0,PT2H35M,"Biography, Comedy, Drama","Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal, Dia Mirza, Anushka Sharma, Sonam Kapoor, Jim Sarbh, Karishma Tanna, Boman Irani, Ashnoor Kaur, Siya, Tabu, Sayaji Shinde, Steven Allen, Prakash Belawadi, Mahru Sheikh, Anil Charanjeett",2h 35m
tt0248126,Kabhi Khushi Kabhie Gham...,2001.0,7.5,62102.0,PT3H30M,"Drama, Musical, Romance","Shah Rukh Khan, Kajol, Amitabh Bachchan, Jaya Bachchan, Hrithik Roshan, Kareena Kapoor, Jibraan Khan, Farida Jalal, Rani Mukerji, Alok Nath, Amar Talwar, Johny Lever, Achala Sachdev, Himani Shivpuri, Aryan Khan, Sushma Seth, Ramona Sunavala, Jeroo Writer",3h 30m
tt1833673,Dhoom:3,2025.0,5.4,52861.0,PT2H52M,"Action, Crime, Drama","Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra, Jackie Shroff, Tabrett Bethell, Andrew Bicknell, Siddharth Nigam, Charles Rasmussen, Gavin Marshall, Girisha Nichani, Kapish Chawla, Kanishka Soni, Kavya Nayak, Adit Singh, Parth Suri, Richard, Yatin",2h 52m
tt1182937,Rab Ne Bana Di Jodi,2008.0,7.2,58843.0,PT2H47M,"Comedy, Drama, Music","Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina, Manmeet Singh Sawhney, Kajol, Rani Mukerji, Preity G Zinta, Bipasha Basu, Lara Dutta, Bobby Bedi, Vivan Bhatena, Puneet Cheema, Alene D'Souza, Aneesha Dalal, Areesz Ganddi, Rajesh Jais, Vineet Kapoor",2h 47m
tt8356942,The 355,2022.0,5.6,42966.0,PT2H2M,"Action, Thriller","Jessica Chastain, Penélope Cruz, Bingbing Fan, Diane Kruger, Lupita Nyong'o, Sebastian Stan, Edgar Ramírez, Jason Flemyng, Sylvester Groth, John Douglas Thompson, Leo Staar, Pablo Scola, Marcello Cruz, Eddie Arnold, Sebastián Capitán Viveros, Federico Trujillo, Jason Wong, Raphael Acloque",2h 2m
tt1800395,The Official 3D 2010 FIFA World Cup Film,2010.0,6.7,82.0,PT1H4M,"Documentary, Sport","Kris Law, Lucas Radebe",1h 4m
tt0456144,Lage Raho Munna Bhai,2006.0,8.0,52900.0,PT2H24M,"Comedy, Drama, Romance","Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani, Dilip Prabhawalkar, Dia Mirza, Jimmy Shergill, Kulbhushan Kharbanda, Parikshit Sahni, Saurabh Shukla, Supriya Shukla, Achyut Potdar, Atmaram Bhende, Arun Bali, Bomie E. Dotiwala, Abhishek Bachchan, Uday Sabnis, Rohitash Gaud",2h 24m
